name_species
ae aegypti
ae albopictus
an albimanus
an arabiensis
an atroparvus
an barbirostris
an coluzzii
an coustani
an dirus
an farauti
an freeborni
an funestus
an funestus sl
an funestus ss
an gambiae
an gambiae sl
an gambiae ss
an harrisoni
an leesoni
an maculatus
an maculipalpis
an merus
an minimus
an pharoensis
an quadriannulatus
an rivulorum
an sinensis
an squamosus
an stephensi
an ziemanni
coquillettidia sp
culex pipiens complex
culex quinquefasciatus
culex tarsalis
culex tigripes
ma africanus
ma uniformis
toxorhynchites brevipalpis
